assembly_accession	access_url
GCA_003327715.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Puma_concolor__puma__HLpumCon1__GCA_003327715.1/query_annotation.gff.gz
GCA_003336285.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Mus_spicilegus__steppe_mouse__HLmusSpi1__GCA_003336285.1/query_annotation.gff.gz
GCA_003426925.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Urocitellus_parryii__Arctic_ground_squirrel__HLuroPar1__GCA_003426925.1/query_annotation.gff.gz
GCA_003668045.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Cricetulus_griseus__Chinese_hamster__HLcriGri3__GCA_003668045.1/query_annotation.gff.gz
GCA_003676075.2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Marmota_flaviventris__yellow-bellied_marmot__HLmarFla1__GCA_003676075.2/query_annotation.gff.gz
GCA_003697995.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Taxidea_taxus_jeffersonii__American_badger__HLtaxTax1__GCA_003697995.1/query_annotation.gff.gz
GCA_003704035.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Peromyscus_maniculatus_bairdii__prairie_deer_mouse__HLperManBai2__GCA_003704035.1/query_annotation.gff.gz
GCA_003704135.2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Peromyscus_polionotus_subgriseus__oldfield_mouse__HLperPol1__GCA_003704135.2/query_annotation.gff.gz
GCA_003709585.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Acinonyx_jubatus__cheetah__HLaciJub2__GCA_003709585.1/query_annotation.gff.gz
GCA_003798545.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Axis_porcinus__Hog_deer__HLaxiPor1__GCA_003798545.1/query_annotation.gff.gz
GCA_003945745.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Oryx_gazella__gemsbok__HLoryGaz1__GCA_003945745.1/query_annotation.gff.gz
GCA_004023785.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Mungos_mungo__banded_mongoose__HLmunMug1__GCA_004023785.1/query_annotation.gff.gz
GCA_004023805.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Panthera_onca__jaguar__HLpanOnc1__GCA_004023805.1/query_annotation.gff.gz
GCA_004023845.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Helogale_parvula__dwarf_mongoose__HLhelPar1__GCA_004023845.1/query_annotation.gff.gz
GCA_004023905.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Suricata_suricatta__meerkat__HLsurSur2__GCA_004023905.1/query_annotation.gff.gz
GCA_004023965.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Spilogale_gracilis__western_spotted_skunk__HLspiGra1__GCA_004023965.1/query_annotation.gff.gz
GCA_004024585.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Paradoxurus_hermaphroditus__Asian_palm_civet__HLparHer1__GCA_004024585.1/query_annotation.gff.gz
GCA_004024625.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Mellivora_capensis__ratel__HLmelCap1__GCA_004024625.1/query_annotation.gff.gz
GCA_004024645.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Mirza_coquereli__Coquerels_mouse_lemur__HLmirCoq1__GCA_004024645.1/query_annotation.gff.gz
GCA_004024665.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Lemur_catta__Ring-tailed_lemur__HLlemCat1__GCA_004024665.1/query_annotation.gff.gz
GCA_004024685.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Dipodomys_stephensi__Stephenss_kangaroo_rat__HLdipSte1__GCA_004024685.1/query_annotation.gff.gz
GCA_004024705.2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Moschus_moschiferus__Siberian_musk_deer__HLmosMos1__GCA_004024705.2/query_annotation.gff.gz
GCA_004024745.2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Catagonus_wagneri__Chacoan_peccary__HLcatWag1__GCA_004024745.2/query_annotation.gff.gz
GCA_004024765.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Zapus_hudsonius__meadow_jumping_mouse__HLzapHud1__GCA_004024765.1/query_annotation.gff.gz
GCA_004024785.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Ateles_geoffroyi__black-handed_spider_monkey__HLateGeo1__GCA_004024785.1/query_annotation.gff.gz
GCA_004024805.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Xerus_inauris__South_African_ground_squirrel__HLxerIna1__GCA_004024805.1/query_annotation.gff.gz
GCA_004024825.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Pygathrix_nemaeus__Red_shanked_douc_langur__HLpygNem1__GCA_004024825.1/query_annotation.gff.gz
GCA_004024845.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Tonatia_bakeri__stripe-headed_round-eared_bat__HLtonSau1__GCA_004024845.1/query_annotation.gff.gz
GCA_004024885.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Saguinus_imperator__tamarin__HLsagImp1__GCA_004024885.1/query_annotation.gff.gz
GCA_004024905.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Tapirus_indicus__Asiatic_tapir__HLtapInd1__GCA_004024905.1/query_annotation.gff.gz
GCA_004024925.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Scalopus_aquaticus__eastern_mole__HLscaAqu1__GCA_004024925.1/query_annotation.gff.gz
GCA_004024945.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Uropsilus_gracilis__gracile_shrew_mole__HLuroGra1__GCA_004024945.1/query_annotation.gff.gz
GCA_004024965.2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Tragulus_javanicus__Java_mouse-deer__HLtraJav1__GCA_004024965.2/query_annotation.gff.gz
GCA_004024985.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Saiga_tatarica__saiga_antelope__HLsaiTat1__GCA_004024985.1/query_annotation.gff.gz
GCA_004025025.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Tapirus_terrestris__Brazilian_tapir__HLtapTer1__GCA_004025025.1/query_annotation.gff.gz
GCA_004025065.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Semnopithecus_entellus__Hanuman_langur__HLsemEnt1__GCA_004025065.1/query_annotation.gff.gz
GCA_004025085.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Thryonomys_swinderianus__Greater_cane_rat__HLthrSwi1__GCA_004025085.1/query_annotation.gff.gz
GCA_004025125.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Tolypeutes_matacus__southern_three-banded_armadillo__HLtolMat1__GCA_004025125.1/query_annotation.gff.gz
GCA_004026525.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Miniopterus_schreibersii__Schreibers_long-fingered_bat__HLminSch1__GCA_004026525.1/query_annotation.gff.gz
GCA_004026545.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Mormoops_blainvillei__Antillean_ghost-faced_bat__HLmorBla1__GCA_004026545.1/query_annotation.gff.gz
GCA_004026585.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Noctilio_leporinus__greater_bulldog_bat__HLnocLep1__GCA_004026585.1/query_annotation.gff.gz
GCA_004026605.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Ondatra_zibethicus__muskrat__HLondZib1__GCA_004026605.1/query_annotation.gff.gz
GCA_004026625.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Pipistrellus_pipistrellus__common_pipistrelle__HLpipPip1__GCA_004026625.1/query_annotation.gff.gz
GCA_004026645.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Pithecia_pithecia__white-faced_saki__HLpitPit1__GCA_004026645.1/query_annotation.gff.gz
GCA_004026665.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Murina_feae__Little_tube-nosed_bat__HLmurAurFea1__GCA_004026665.1/query_annotation.gff.gz
GCA_004026705.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Nesogale_talazaci__Talazacs_shrew_tenrec__HLmicTal1__GCA_004026705.1/query_annotation.gff.gz
GCA_004026765.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Micronycteris_hirsuta__hairy_big-eared_bat__HLmicHir1__GCA_004026765.1/query_annotation.gff.gz
GCA_004026805.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Lasiurus_borealis__red_bat__HLlasBor1__GCA_004026805.1/query_annotation.gff.gz
GCA_004026825.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Nilgiritragus_hylocrius__Nilgiri_tahr__HLhemHyl1__GCA_004026825.1/query_annotation.gff.gz
GCA_004026855.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Lepus_americanus__snowshoe_hare__HLlepAme1__GCA_004026855.1/query_annotation.gff.gz
GCA_004026885.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Lyroderma_lyra__Indian_false_vampire__HLmegLyr2__GCA_004026885.1/query_annotation.gff.gz
GCA_004026905.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Hystrix_cristata__crested_porcupine__HLhysCri1__GCA_004026905.1/query_annotation.gff.gz
GCA_004026925.2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Procavia_capensis__Cape_rock_hyrax__HLproCap3__GCA_004026925.2/query_annotation.gff.gz
GCA_004026945.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Ovis_canadensis__bighorn_sheep__HLoviCan2__GCA_004026945.1/query_annotation.gff.gz
GCA_004026965.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Petromus_typicus__dassie-rat__HLpetTyp1__GCA_004026965.1/query_annotation.gff.gz
GCA_004027005.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Muscardinus_avellanarius__hazel_dormouse__HLmusAve1__GCA_004027005.1/query_annotation.gff.gz
GCA_004027065.2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Hippopotamus_amphibius__hippopotamus__HLhipAmp3__GCA_004027065.2/query_annotation.gff.gz
GCA_004027085.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Mesoplodon_bidens__Sowerbys_beaked_whale__HLmesBid1__GCA_004027085.1/query_annotation.gff.gz
GCA_004027145.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Daubentonia_madagascariensis__aye-aye__HLdauMad1__GCA_004027145.1/query_annotation.gff.gz
GCA_004027165.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Ctenomys_sociabilis__social_tuco-tuco__HLcteSoc1__GCA_004027165.1/query_annotation.gff.gz
GCA_004027185.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Glis_glis__Fat_dormouse__HLgliGli1__GCA_004027185.1/query_annotation.gff.gz
GCA_004027205.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Ctenodactylus_gundi__northern_gundi__HLcteGun1__GCA_004027205.1/query_annotation.gff.gz
GCA_004027255.2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Galeopterus_variegatus__Sunda_flying_lemur__HLgalVar2__GCA_004027255.2/query_annotation.gff.gz
GCA_004027275.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Eulemur_fulvus__brown_lemur__HLeulFul1__GCA_004027275.1/query_annotation.gff.gz
GCA_004027295.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Dolichotis_patagonum__Patagonian_cavy__HLdolPat1__GCA_004027295.1/query_annotation.gff.gz
GCA_004027375.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Macroglossus_sobrinus__Long-tongued_fruit_bat__HLmacSob1__GCA_004027375.1/query_annotation.gff.gz
GCA_004027415.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Hipposideros_galeritus__Cantors_roundleaf_bat__HLhipGal1__GCA_004027415.1/query_annotation.gff.gz
GCA_004027455.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Hydrochoerus_hydrochaeris__capybara__HLhydHyd1__GCA_004027455.1/query_annotation.gff.gz
GCA_004027475.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Anoura_caudifer__tailed_tailless_bat__HLanoCau1__GCA_004027475.1/query_annotation.gff.gz
GCA_004027495.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Beatragus_hunteri__Hirola__HLbeaHun1__GCA_004027495.1/query_annotation.gff.gz
GCA_004027535.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Acomys_cahirinus__Egyptian_spiny_mouse__HLacoCah1__GCA_004027535.1/query_annotation.gff.gz
GCA_004027555.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Craseonycteris_thonglongyai__hog-nosed_bat__HLcraTho1__GCA_004027555.1/query_annotation.gff.gz
GCA_004027575.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Cricetomys_gambianus__Gambian_giant_pouched_rat__HLcriGam1__GCA_004027575.1/query_annotation.gff.gz
GCA_004027595.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Dinomys_branickii__pacarana__HLdinBra1__GCA_004027595.1/query_annotation.gff.gz
GCA_004027615.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Cercopithecus_neglectus__De_Brazzas_monkey__HLcerNeg1__GCA_004027615.1/query_annotation.gff.gz
GCA_004027655.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Graphiurus_murinus__woodland_dormouse__HLgraMur1__GCA_004027655.1/query_annotation.gff.gz
GCA_004027695.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Cavia_tschudii__Montane_guinea_pig__HLcavTsc1__GCA_004027695.1/query_annotation.gff.gz
GCA_004027715.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Plecturocebus_donacophilus__Bolivian_titi__HLpleDon1__GCA_004027715.1/query_annotation.gff.gz
GCA_004027735.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Carollia_perspicillata__Sebas_short-tailed_bat__HLcarPer3__GCA_004027735.1/query_annotation.gff.gz
GCA_004027835.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Alouatta_palliata__mantled_howler_monkey__HLaloPal1__GCA_004027835.1/query_annotation.gff.gz
GCA_004027875.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Aplodontia_rufa__mountain_beaver__HLaplRuf1__GCA_004027875.1/query_annotation.gff.gz
GCA_004027895.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Orientallactaga_bullata__Gobi_jerboa__HLallBul1__GCA_004027895.1/query_annotation.gff.gz
GCA_004028035.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Eumetopias_jubatus__Steller_sea_lion__HLeumJub1__GCA_004028035.1/query_annotation.gff.gz
GCA_004115125.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Odocoileus_hemionus_hemionus__mule_deer__HLodoHem1__GCA_004115125.1/query_annotation.gff.gz
GCA_004348235.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Phoca_vitulina__harbor_seal__HLphoVit1__GCA_004348235.1/query_annotation.gff.gz
GCA_004363435.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Platanista_minor__Indus_River_dolphin__HLplaMin1__GCA_004363435.1/query_annotation.gff.gz
GCA_004363455.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Eubalaena_japonica__North_Pacific_right_whale__HLeubJap1__GCA_004363455.1/query_annotation.gff.gz
GCA_004363535.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Dasyprocta_punctata__punctate_agouti__HLdasPun1__GCA_004363535.1/query_annotation.gff.gz
GCA_004363575.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Solenodon_paradoxus__Hispaniolan_solenodon__HLsolPar1__GCA_004363575.1/query_annotation.gff.gz
GCA_004363605.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Indri_indri__Indri__HLindInd1__GCA_004363605.1/query_annotation.gff.gz
GCA_004364475.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Ziphius_cavirostris__Cuviers_beaked_whale__HLzipCav1__GCA_004364475.1/query_annotation.gff.gz
GCA_004664715.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Peromyscus_leucopus__white-footed_mouse__HLperLeu1__GCA_004664715.1/query_annotation.gff.gz
GCA_004765945.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Phataginus_tricuspis__Tree_pangolin__HLmanTri1__GCA_004765945.1/query_annotation.gff.gz
GCA_004785775.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Grammomys_surdaster__African_woodland_thicket_rat__HLgraSur1__GCA_004785775.1/query_annotation.gff.gz
GCA_005190385.2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Monodon_monoceros__narwhal__HLmonMon1__GCA_005190385.2/query_annotation.gff.gz
GCA_005190385.3	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Monodon_monoceros__narwhal__HLmonMon2__GCA_005190385.3/query_annotation.gff.gz
GCA_005280165.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Marmota_himalayana__Himalayan_marmot__HLmarHim1__GCA_005280165.1/query_annotation.gff.gz
GCA_005444595.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Canis_lupus_familiaris__dog__canFam5__GCA_005444595.1/query_annotation.gff.gz
GCA_005458795.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Marmota_vancouverensis__Vancouver_marmot__HLmarVan1__GCA_005458795.1/query_annotation.gff.gz
GCA_005887515.2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Bos_grunniens__domestic_yak__HLbosGru1__GCA_005887515.2/query_annotation.gff.gz
GCA_006408465.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Cervus_albirostris__white-lipped_deer__HLprzAlb1__GCA_006408465.1/query_annotation.gff.gz
GCA_006408505.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Damaliscus_lunatus__topi__HLdamLun1__GCA_006408505.1/query_annotation.gff.gz
